sw_type,sw_id,min_telemetry_push_time,experiment_time,packet_count,rmse,telemetry_byte_count,jitter
sINT,2,0.5,60.0,64,0.20014845379006108,2852,"{'h1': 0.6887563013863061, 'h4': 1.146911452270048, 'h3': 0.9274243816597216}"
static,2,0.5,60.0,108,0.09609435871032107,6906,"{'h4': 1.2362517430508428, 'h3': 0.8131867483798431, 'h1': 0.7039371919010204}"
dynamic,2,0.5,60.0,74,0.1283855649640347,4185,"{'h3': 1.3906177151986643, 'h4': 1.6554138305721535, 'h1': 1.221036301213975}"
sINT,2,0.5,60.0,64,0.2084579588866608,2852,"{'h1': 0.6594530558036108, 'h4': 0.6750108158521059, 'h3': 0.8661397747890879}"
static,2,0.5,60.0,108,0.105203909475738,6906,"{'h4': 1.5110567689166456, 'h3': 0.8860184596135066, 'h1': 0.8736445887038556}"
dynamic,2,0.5,60.0,64,0.12435663006167745,3981,"{'h3': 1.490975915946477, 'h4': 1.5927806861432035, 'h1': 1.4550950127834064}"
sINT,2,0.5,60.0,64,0.2263514971540521,2852,"{'h1': 0.6713846263101132, 'h4': 1.1363231529623774, 'h3': 0.7713405986890448}"
static,2,0.5,60.0,108,0.10848491092927814,6877,"{'h4': 0.9034836135117124, 'h3': 0.8780835407728155, 'h1': 0.7604870537936748}"
dynamic,2,0.5,60.0,69,0.14531897741004404,3860,"{'h3': 1.013119804658898, 'h4': 0.8983041831553543, 'h1': 0.8556094308315572}"
sINT,2,0.5,60.0,64,0.2079499604958962,2852,"{'h1': 0.4103826424303122, 'h4': 0.5780153130856387, 'h3': 0.6711223010921281}"
static,2,0.5,60.0,108,0.09816320975879358,6906,"{'h4': 0.8725789980699787, 'h3': 0.607756784170945, 'h1': 0.6022471243304499}"
dynamic,2,1.0,60.0,41,0.18055808520978503,2501,"{'h3': 1.2421745696041109, 'h4': 1.729931086021179, 'h1': 1.0552539031507975}"
sINT,2,1.0,60.0,64,0.1855361039694647,2852,"{'h1': 0.875455027477911, 'h4': 1.0650422837999132, 'h3': 1.126510992255353}"
static,2,1.0,60.0,55,0.16655449716213294,3485,"{'h4': 1.142091221279568, 'h3': 1.0475670381383562, 'h1': 0.8705288261444184}"
dynamic,2,1.0,60.0,42,0.16411888325171067,2576,"{'h3': 1.5343980314174375, 'h4': 1.7923305263627047, 'h1': 1.262601782589284}"
sINT,2,1.0,60.0,64,0.17826636442400265,2852,"{'h1': 0.8366808011275954, 'h4': 1.351976125253796, 'h3': 1.0004088550481056}"
static,2,1.0,60.0,55,0.1801923380860984,3493,"{'h4': 1.4826530790598378, 'h3': 0.7978248062156275, 'h1': 0.777957372464531}"
dynamic,2,1.0,60.0,43,0.17587651410968758,2593,"{'h3': 0.9618910090465866, 'h4': 1.2950131673148348, 'h1': 0.9226766130032248}"
sINT,2,1.0,60.0,64,0.18564853234934803,2852,"{'h1': 0.6854692576761351, 'h4': 1.2196071179348644, 'h3': 0.6908816009575449}"
static,2,1.0,60.0,55,0.17713796636423998,3468,"{'h4': 1.1723831773028761, 'h3': 0.7346186566205282, 'h1': 0.6702230232529559}"
dynamic,2,1.0,60.0,43,0.17376789297720457,2472,"{'h3': 1.2926252900833863, 'h4': 1.4458344705585258, 'h1': 1.0923066493142453}"
sINT,2,1.0,60.0,64,0.17441895084859105,2852,"{'h1': 0.9184604661993181, 'h4': 1.2482802073160808, 'h3': 1.111723840535302}"
static,2,1.0,60.0,55,0.1720414469641354,3455,"{'h4': 1.1376948455408242, 'h3': 0.6706817221086425, 'h1': 0.6263917881842243}"
