sw_type,sw_id,min_telemetry_push_time,experiment_time,packet_count,rmse,telemetry_byte_count,jitter
DINT,2,1.0,60.0,48,0.16362285462550857,2876,"{'h3': 0.9500721791765172, 'h1': 0.7663291459576177, 'h4': 1.2865389807749603}"
LINT,2,1.0,60.0,56,0.14713440011020998,3506,"{'h3': 1.0924404643469423, 'h1': 0.8660038352132202, 'h4': 1.1056780590624906}"
sINT,2,1.0,60.0,64,0.1831955912209968,2852,"{'h1': 0.4956314532663542, 'h4': 0.7961784154457336, 'h3': 0.5179140865012252}"
static,2,1.0,60.0,55,0.19258249791670473,3447,"{'h4': 1.0347572872643191, 'h3': 0.6820636269198103, 'h1': 0.5508386861596447}"
DINT,2,1.0,60.0,47,0.16360162986611101,2880,"{'h3': 1.175420810576916, 'h1': 0.8887164332084694, 'h4': 1.2665522300590903}"
LINT,2,1.0,60.0,55,0.15989891274572732,3548,"{'h3': 2.3294985557846215, 'h1': 1.9896105753861317, 'h4': 3.070941977132736}"
sINT,2,1.0,60.0,64,0.16837462688655588,2852,"{'h1': 0.9942876778490685, 'h4': 1.011523149781308, 'h3': 1.120825836941657}"
static,2,1.0,60.0,55,0.18616102596326137,3455,"{'h4': 1.1085195505461898, 'h3': 0.7345031363894515, 'h1': 0.6652406249625035}"
DINT,2,2.0,60.0,26,0.2493297893782468,1592,"{'h3': 1.5931689489776673, 'h1': 1.2718879710229014, 'h4': 2.0629342666453563}"
LINT,2,2.0,60.0,28,0.2753839393303858,1730,"{'h3': 1.6623429411672541, 'h1': 1.3776172247669523, 'h4': 1.7954270493961773}"
sINT,2,2.0,60.0,64,0.17020502395526554,2852,"{'h1': 0.95521793920274, 'h4': 1.4754751532315757, 'h3': 0.9844681171762393}"
static,2,2.0,60.0,28,0.26839310549869777,1747,"{'h4': 1.3342123696135038, 'h3': 1.1628482182258497, 'h1': 0.9396923341626747}"
DINT,2,2.0,60.0,26,0.2499642191722977,1542,"{'h3': 1.698206562297449, 'h1': 1.3558445507688532, 'h4': 1.9105627936382976}"
LINT,2,2.0,60.0,29,0.25691844363031585,1784,"{'h3': 2.1189976469310308, 'h1': 1.852772539573065, 'h4': 2.4433430080808938}"
sINT,2,2.0,60.0,64,0.18267285587767762,2852,"{'h1': 1.0904166978244916, 'h4': 1.6382014459584842, 'h3': 1.3335814280668754}"
static,2,2.0,60.0,28,0.27323354343214595,1661,"{'h4': 1.4647840331054227, 'h3': 1.0205097968621204, 'h1': 0.908357209881904}"
DINT,2,0.25,60.0,130,0.11073976709135774,8178,"{'h3': 1.3902051027918017, 'h1': 1.4447737840137846, 'h4': 1.8533634376166679}"
LINT,2,0.25,60.0,212,0.08838915158918931,13663,"{'h3': 1.9200808032929917, 'h1': 1.8632680984772556, 'h4': 2.155751382788247}"
sINT,2,0.25,60.0,64,0.22210321505651978,2852,"{'h1': 0.9358641854977775, 'h4': 1.2531134592835738, 'h3': 1.0567568692702864}"
static,2,0.25,60.0,213,0.09864060464592296,13633,"{'h4': 1.8933966559429851, 'h3': 1.0045524757940651, 'h1': 1.2379129647969482}"
DINT,2,0.25,60.0,125,0.11903525986169976,8328,"{'h3': 1.5067317090201724, 'h1': 1.219198003097427, 'h4': 1.9930971544341178}"
