frame.number,frame.time_epoch,frame.time_relative,frame.len,ip.src,ip.dst
38,1664055777.234097486,0.562809840,1442,10.0.1.1,10.0.2.2
39,1664055777.246863460,0.575575814,1442,10.0.1.1,10.0.2.2
40,1664055777.259265733,0.587978087,1442,10.0.1.1,10.0.2.2
41,1664055777.287185330,0.615897684,1442,10.0.1.1,10.0.2.2
42,1664055777.302979544,0.631691898,1442,10.0.1.1,10.0.2.2
43,1664055777.317037496,0.645749850,1442,10.0.1.1,10.0.2.2
44,1664055777.334817494,0.663529848,1442,10.0.1.1,10.0.2.2
45,1664055777.347763928,0.676476282,1442,10.0.1.1,10.0.2.2
46,1664055777.364116543,0.692828897,1442,10.0.1.1,10.0.2.2
47,1664055777.377552105,0.706264459,1442,10.0.1.1,10.0.2.2
48,1664055777.391234978,0.719947332,1442,10.0.1.1,10.0.2.2
49,1664055777.406440408,0.735152762,1442,10.0.1.1,10.0.2.2
50,1664055777.420661872,0.749374226,1442,10.0.1.1,10.0.2.2
51,1664055777.432389647,0.761102001,1442,10.0.1.1,10.0.2.2
52,1664055777.444677479,0.773389833,1442,10.0.1.1,10.0.2.2
53,1664055777.456777746,0.785490100,1442,10.0.1.1,10.0.2.2
54,1664055777.471166102,0.799878456,1442,10.0.1.1,10.0.2.2
55,1664055777.483580452,0.812292806,1442,10.0.1.1,10.0.2.2
56,1664055777.495735384,0.824447738,1442,10.0.1.1,10.0.2.2
57,1664055777.508668776,0.837381130,1442,10.0.1.1,10.0.2.2
58,1664055777.520666218,0.849378572,1442,10.0.1.1,10.0.2.2
59,1664055777.532572834,0.861285188,1442,10.0.1.1,10.0.2.2
60,1664055777.545889647,0.874602001,1442,10.0.1.1,10.0.2.2
61,1664055777.559551881,0.888264235,1442,10.0.1.1,10.0.2.2
62,1664055777.571570481,0.900282835,1442,10.0.1.1,10.0.2.2
63,1664055777.584192328,0.912904682,1442,10.0.1.1,10.0.2.2
64,1664055777.596380202,0.925092556,1442,10.0.1.1,10.0.2.2
65,1664055777.608940504,0.937652858,1442,10.0.1.1,10.0.2.2
66,1664055777.621100428,0.949812782,1442,10.0.1.1,10.0.2.2
67,1664055777.633366788,0.962079142,1442,10.0.1.1,10.0.2.2
68,1664055777.647681429,0.976393783,1442,10.0.1.1,10.0.2.2
69,1664055777.659985738,0.988698092,1442,10.0.1.1,10.0.2.2
70,1664055777.675281319,1.003993673,1442,10.0.1.1,10.0.2.2
71,1664055777.685644685,1.014357039,1442,10.0.1.1,10.0.2.2
72,1664055777.698195568,1.026907922,1442,10.0.1.1,10.0.2.2
73,1664055777.712652601,1.041364955,1442,10.0.1.1,10.0.2.2
74,1664055777.725347750,1.054060104,1442,10.0.1.1,10.0.2.2
75,1664055777.737679560,1.066391914,1442,10.0.1.1,10.0.2.2
76,1664055777.749564723,1.078277077,1442,10.0.1.1,10.0.2.2
77,1664055777.761892182,1.090604536,1442,10.0.1.1,10.0.2.2
78,1664055777.776203096,1.104915450,1442,10.0.1.1,10.0.2.2
79,1664055777.789901089,1.118613443,1442,10.0.1.1,10.0.2.2
80,1664055777.804449952,1.133162306,1442,10.0.1.1,10.0.2.2
81,1664055777.816700539,1.145412893,1442,10.0.1.1,10.0.2.2
82,1664055777.829320433,1.158032787,1442,10.0.1.1,10.0.2.2
83,1664055777.841658484,1.170370838,1442,10.0.1.1,10.0.2.2
84,1664055777.854132471,1.182844825,1442,10.0.1.1,10.0.2.2
85,1664055777.866540781,1.195253135,1442,10.0.1.1,10.0.2.2
86,1664055777.881395167,1.210107521,1442,10.0.1.1,10.0.2.2
87,1664055777.893698403,1.222410757,1442,10.0.1.1,10.0.2.2
