frame.number,frame.time_epoch,frame.time_relative,frame.len,ip.src,ip.dst
30,1664052893.527356289,0.405407318,1442,10.0.1.1,10.0.2.2
31,1664052893.542091708,0.420142737,1442,10.0.1.1,10.0.2.2
32,1664052893.554366756,0.432417785,1442,10.0.1.1,10.0.2.2
33,1664052893.567504735,0.445555764,1442,10.0.1.1,10.0.2.2
34,1664052893.578534070,0.456585099,1442,10.0.1.1,10.0.2.2
35,1664052893.590485045,0.468536074,1442,10.0.1.1,10.0.2.2
36,1664052893.602639618,0.480690647,1442,10.0.1.1,10.0.2.2
37,1664052893.614756406,0.492807435,1442,10.0.1.1,10.0.2.2
38,1664052893.681139407,0.559190436,1442,10.0.1.1,10.0.2.2
39,1664052893.694440848,0.572491877,1442,10.0.1.1,10.0.2.2
40,1664052893.706553030,0.584604059,1442,10.0.1.1,10.0.2.2
41,1664052893.734698609,0.612749638,1442,10.0.1.1,10.0.2.2
42,1664052893.750744852,0.628795881,1442,10.0.1.1,10.0.2.2
43,1664052893.764421887,0.642472916,1442,10.0.1.1,10.0.2.2
44,1664052893.782168860,0.660219889,1442,10.0.1.1,10.0.2.2
45,1664052893.795077393,0.673128422,1442,10.0.1.1,10.0.2.2
46,1664052893.811205388,0.689256417,1442,10.0.1.1,10.0.2.2
47,1664052893.824766183,0.702817212,1442,10.0.1.1,10.0.2.2
48,1664052893.838778335,0.716829364,1442,10.0.1.1,10.0.2.2
49,1664052893.853832315,0.731883344,1442,10.0.1.1,10.0.2.2
50,1664052893.869284298,0.747335327,1442,10.0.1.1,10.0.2.2
51,1664052893.879894343,0.757945372,1442,10.0.1.1,10.0.2.2
52,1664052893.891422378,0.769473407,1442,10.0.1.1,10.0.2.2
53,1664052893.903569467,0.781620496,1442,10.0.1.1,10.0.2.2
54,1664052893.917993905,0.796044934,1442,10.0.1.1,10.0.2.2
55,1664052893.930420043,0.808471072,1442,10.0.1.1,10.0.2.2
56,1664052893.942590415,0.820641444,1442,10.0.1.1,10.0.2.2
57,1664052893.957373215,0.835424244,1442,10.0.1.1,10.0.2.2
58,1664052893.967091740,0.845142769,1442,10.0.1.1,10.0.2.2
59,1664052893.979169538,0.857220567,1442,10.0.1.1,10.0.2.2
60,1664052893.992709147,0.870760176,1442,10.0.1.1,10.0.2.2
61,1664052894.005985045,0.884036074,1442,10.0.1.1,10.0.2.2
62,1664052894.018068443,0.896119472,1442,10.0.1.1,10.0.2.2
63,1664052894.030539470,0.908590499,1442,10.0.1.1,10.0.2.2
64,1664052894.042631460,0.920682489,1442,10.0.1.1,10.0.2.2
65,1664052894.055200779,0.933251808,1442,10.0.1.1,10.0.2.2
66,1664052894.067413447,0.945464476,1442,10.0.1.1,10.0.2.2
67,1664052894.079553632,0.957604661,1442,10.0.1.1,10.0.2.2
68,1664052894.093970160,0.972021189,1442,10.0.1.1,10.0.2.2
69,1664052894.105808095,0.983859124,1442,10.0.1.1,10.0.2.2
70,1664052894.118529343,0.996580372,1442,10.0.1.1,10.0.2.2
71,1664052894.131662724,1.009713753,1442,10.0.1.1,10.0.2.2
72,1664052894.143635754,1.021686783,1442,10.0.1.1,10.0.2.2
73,1664052894.158406233,1.036457262,1442,10.0.1.1,10.0.2.2
74,1664052894.170799825,1.048850854,1442,10.0.1.1,10.0.2.2
75,1664052894.183087827,1.061138856,1442,10.0.1.1,10.0.2.2
76,1664052894.195409153,1.073460182,1442,10.0.1.1,10.0.2.2
77,1664052894.207436175,1.085487204,1442,10.0.1.1,10.0.2.2
78,1664052894.221962340,1.100013369,1442,10.0.1.1,10.0.2.2
79,1664052894.235328832,1.113379861,1442,10.0.1.1,10.0.2.2
80,1664052894.250428872,1.128479901,1442,10.0.1.1,10.0.2.2
81,1664052894.262421033,1.140472062,1442,10.0.1.1,10.0.2.2
82,1664052894.274957977,1.153009006,1442,10.0.1.1,10.0.2.2
83,1664052894.287510878,1.165561907,1442,10.0.1.1,10.0.2.2
84,1664052894.300080731,1.178131760,1442,10.0.1.1,10.0.2.2
85,1664052894.312396251,1.190447280,1442,10.0.1.1,10.0.2.2
86,1664052894.327125520,1.205176549,1442,10.0.1.1,10.0.2.2
87,1664052894.339655798,1.217706827,1442,10.0.1.1,10.0.2.2
